"_lw_parser_record_number",keys,values,description,_lw_parser_content_type,_lw_parser_id,type,enabled,matching,display_type,search_terms,_lw_parser_parsing_depth,_lw_parser_absolute_resource_name,createdAt,effective_range,ruleName,param_keys,id,updatedAt,_lw_parser_type,_lw_parser_max_parsing_depth,groups,param_values,field_name,_lw_parser_resource_name,_lw_parser_diagnostic_id,param_policies,field_values
0,,,Samsung Galaxy S10+ compatible accessories,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,boost_list,true,keywords,Boost List,products/galaxy-s10-plus/,1,"null,unknown#0",2019-07-31T17:49:43.400Z,,Biz-products-Samsung-Galaxy-S10-plus,,9d73a873-2f59-424f-934d-5e9400ca2329,2019-08-01T16:17:47.890Z,json,16,rules-global,,id,unknown,1b7cde03-dac9-4e31-9507-cff5c782a64e,,"speck-presidio-grip-case-for-galaxy-s10-plus-black,casemate-twinkle-case-for-galaxy-s10-plus-stardust,otterbox-defender-series-case-for-galaxy-s10-plus-black,samsung-led-back-cover-case-for-galaxy-s10-plus-black,samsung-s-view-flip-cover-for-galaxy-s10-plus-black,zagg-invisibleshield-ultra-clear-screen-protector-for-galaxy-s10-plus,incipio-aerolite-case-for-galaxy-s10-plus-white-clear,otterbox-symmetry-clear-series-case-for-galaxy-s10-plus-stardust,kate-spade-new-york-defensive-hardshell-case-for-galaxy-s10-plus-hollyhock-floral-clear-cream-with-gems,tech21-pure-clear-case-for-galaxy-s10-plus-clear,lifeproof-next-series-case-for-galaxy-s10-plus-ultra,otterbox-commuter-series-case-for-galaxy-s10-plus-black,otterbox-symmetry-series-case-for-galaxy-s10-plus-black,speck-presidio-stay-clear-case-for-galaxy-s10-plus-clear,verizon-screen-protector-for-curved-display-for-galaxy-s10-plus-2-pack,casemate-wallet-folio-case-for-galaxy-s10-plus-black,speck-presidio-v-grip-case-for-galaxy-s10-plus-sand-grey-clear,tech21-evo-check-case-for-galaxy-s10-plus-smokey-black,incipio-dualpro-case-for-galaxy-s10-plus-black,verizon-fabric-case-for-galaxy-s10-plus-black,verizon-shell-holster-combo-for-galaxy-s10-plus-black"
0,,,Samsung Galaxy S10 5G compatible accessories,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,boost_list,true,keywords,Boost List,products/galaxy-s10-5g/,1,"null,unknown#0",2019-07-31T17:50:51.500Z,,Biz-products-Samsung-Galaxy-S10-5G,,d4122649-a6ed-45ef-9592-5add854a1bdc,2019-08-01T16:14:59.790Z,json,16,rules-global,,id,unknown,0b407314-3af5-4a89-9e13-cba09c188ab8,,"samsung-rugged-protective-case-for-galaxy-s10-5g-black,tech21-evo-check-case-for-galaxy-s10-5G-smokey-black,incipio-tran5form-case-for-galaxy-s10-5G-black,zagg-invisibleshield-ultra-clear-screen-protector-for-galaxy-s10-5G"
0,,,Samsung Galaxy S10e compatible accessories,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,boost_list,true,keywords,Boost List,products/galaxy-s10e/,1,"null,unknown#0",2019-07-31T17:51:37.050Z,,Biz-products-Samsung-Galaxy-S10e,,d116ba6f-926e-4199-80b5-6548d17dffb0,2019-08-01T16:16:23.370Z,json,16,rules-global,,id,unknown,24f7091b-337e-4147-a913-4351250aaec4,,"kate-spade-new-york-defensive-hardshell-case-for-galaxy-s10e-pin-dot-gems-pearls-clear,otterbox-defender-series-case-for-galaxy-s10e-big-sur,otterbox-symmetry-clear-series-case-for-galaxy-s10e-clear,casemate-twinkle-case-for-galaxy-s10e-stardust,samsung-s-view-flip-cover-for-galaxy-s10e-black,zagg-invisibleshield-glass-plus-for-galaxy-s10e,lifeproof-next-series-case-for-galaxy-s10e-black-crystal,speck-presidio-v-grip-case-for-galaxy-s10e-clear-sand-grey,verizon-tempered-glass-screen-protector-for-galaxy-s10e,casemate-wallet-folio-case-for-galaxy-s10e-black,incipio-dualpro-case-for-galaxy-s10e-black,kate-spade-new-york-defensive-hardshell-case-for-galaxy-s10e-hollyhock-floral-clear-cream-with-gems,speck-presidio-stay-clear-case-for-galaxy-s10e-clear,otterbox-commuter-series-case-for-galaxy-s10e-black,otterbox-symmetry-series-case-for-galaxy-s10e-tonic-violet,tech21-evo-check-case-for-galaxy-s10e-smokey-black,verizon-shell-holster-combo-for-galaxy-s10e-black,samsung-led-back-cover-case-for-galaxy-s10e-black,tech21-pure-clear-case-for-galaxy-s10e-clear,verizon-fabric-case-for-galaxy-s10e-black"
0,,,SanDisk brand,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,boost_list,true,keywords,Boost List,products/sandisk/,1,"null,unknown#0",2019-07-31T17:52:24.850Z,,Biz-products-SanDisk,,bfdacfef-2ab7-4f3a-80fd-509cc6067098,2019-08-01T15:54:59.060Z,json,16,rules-global,,id,unknown,f89ad521-6f2b-432f-b3b9-fed41de53bca,,"mem-class-10-microsd-fullsize-sd-adaptor-usb-128gb,sandisk-ultra-plus-256gb-microsdxc-uhs1-card,sandisk-400gb-ultraplus-microsdxc-uhs-i-card"
0,,,Screen Protectors,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,boost_list,true,keywords,Boost List,products/screen-protectors/,1,"null,unknown#0",2019-07-31T17:53:04.140Z,,Biz-products-Screen-Protectors,,f66afe2d-5ff9-4d1b-b8fb-3f5152510232,2019-09-12T08:40:08.530Z,json,16,rules-global,,id,unknown,f2defe89-1657-48c9-806b-d3c97fa2e854,,"zagg-invisibleshield-glass-elite-screen-protector-for-iphone-11-pro-max,zagg-invisibleshield-glass-elite-screen-protector-for-iphone-11-pro-max,zagg-invisibleshield-glass-elite-screen-protector-for-iphone-11,zagg-invisibleshield-glass-elite-screen-protector-with-visionguard-for-iphone-11-pro-max,verizon-rugged-case-and-glass-screen-protector-bundle-for-iphone-11-black,verizon-rugged-case-and-glass-screen-protector-bundle-for-iphone-11-pro-black,verizon-bluelight-tempered-glass-screen-protector-for-iphone-11,zagg-invisibleshield-glass-elite-screen-protector-with-visionguard-for-iphone-11-pro"
0,,,Smart Home Media,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,boost_list,true,keywords,Boost List,products/smart-home-media/,1,"null,unknown#0",2019-07-31T17:53:45.800Z,,Biz-products-Smart-Home-Media,,e37cec43-7442-459b-bf3a-6f61ab4ddd89,2019-08-29T14:27:44.590Z,json,16,rules-global,,id,unknown,8d6f3d43-cc7a-4853-94ce-23e4dccb397d,,"verizon-smart-locator-in-cool-grey,ultimate-ears-ue-blast-and-power-up-graphite,google-home-hub-charcoal,google-home-mini-chalk,jbl-link-view-black,google-pixelbook,google-home-max-charcoal,belkin-wemo-mini-smart-plug-f7c063,google-home-max-with-home-mini-bundle,ultimate-ears-ue-megablast-and-power-up-charging-dock-bundle-blizzard,google-chromecast-ultra-ga3a00403a14"
0,,,Smart Home Security Systems,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,boost_list,true,keywords,Boost List,products/smart-home-security-systems/,1,"null,unknown#0",2019-07-31T17:54:32.170Z,,Biz-products-Smart-Home-Security-Systems,,f22b1788-d7a0-4763-9527-fe91954df41e,2019-08-01T08:05:10.580Z,json,16,rules-global,,id,unknown,1cbea1af-5739-420b-90e8-93bb1a9d1aa9,,"canary-view-black,arlo-pro-arlopro,canary-flex-hd-security-camera-white,canary-home-security-white"
0,,,Smart Trackers,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,boost_list,true,keywords,Boost List,products/smart-trackers/,1,"null,unknown#0",2019-07-31T17:55:17.010Z,,Biz-products-Smart-Trackers,,a2d9b95c-0eee-4513-8d20-4a2b437c6e75,2019-08-29T14:21:29.690Z,json,16,rules-global,,id,unknown,20ce4741-b859-4ae6-9181-f686fa30d08e,,"verizon-smart-locator-in-cool-grey,samsung-smartthings-tracker-smv110vzwvb"
0,,,Smart Watches,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,boost_list,true,keywords,Boost List,products/smart-watches/,1,"null,unknown#0",2019-07-31T17:56:42.640Z,,Biz-products-Smart-Watches,,707ecd30-e23a-4a70-b5cb-ff44f69cadcd,2019-09-12T08:44:08.380Z,json,16,rules-global,,id,unknown,b79c56cf-da72-4d75-9f5f-aea299366053,,"apple-watch-series-5-silver-aluminum-40mm-case-with-sport-band-white,apple-watch-series-5-silver-aluminum-44mm-case-with-sport-band-white,apple-watch-series-5-gold-aluminum-40mm-case-with-sport-band-pink-sand,apple-watch-series-5-gold-aluminum-44mm-case-with-sport-band-pink-sand,apple-watch-series-5-gold-stainless-steel-40mm-case-with-milanese-loop-gold,apple-watch-series-5-gold-stainless-steel-44mm-case-with-milanese-loop-gold,apple-watch-series-5-space-black-stainless-steel-40mm-case-with-sport-band-black,apple-watch-series-5-space-black-stainless-steel-44mm-case-with-sport-band-black,apple-watch-series-5-silver-stainless-steel-40mm-case-with-milanese-loop-silver,apple-watch-series-5-silver-stainless-steel-44mm-case-with-milanese-loop-silver,apple-watch-series-5-space-black-stainless-steel-40mm-case-with-milanese-loop-space-black,apple-watch-series-5-space-black-stainless-steel-44mm-case-with-milanese-loop-space-black,apple-watch-series-5-space-gray-aluminum-40mm-case-with-nike-sport-band-anthracite-black,apple-watch-series-5-space-gray-aluminum-44mm-case-with-nike-sport-band-anthracite-black"
0,,,Speakers,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,boost_list,true,keywords,Boost List,products/speakers/,1,"null,unknown#0",2019-07-31T17:57:16.100Z,,Biz-products-Speakers,,88c9214d-7c67-406e-ab8b-f4d69d06f30f,2019-08-12T14:54:56.570Z,json,16,rules-global,,id,unknown,61482514-7918-4c6f-b447-03a0d60e317b,,jbl-flip-5-bluetooth-speaker-black
