"_lw_parser_record_number",keys,values,description,_lw_parser_content_type,_lw_parser_id,type,enabled,matching,display_type,search_terms,_lw_parser_parsing_depth,_lw_parser_absolute_resource_name,createdAt,effective_range,ruleName,param_keys,id,updatedAt,_lw_parser_type,_lw_parser_max_parsing_depth,groups,param_values,field_name,_lw_parser_resource_name,_lw_parser_diagnostic_id,param_policies,field_values
0,banner,"{   ""page_config"": {     ""show_oos"": ""true""\,     ""page_title"":""All Internet-devices""\,  ""default_sort"": ""featured""\,     ""default_payment_option"": ""twoyear""   } }",CONFIG: InternetDevices Page config,application/json,4c89cc1f-80b2-4277-8ce9-3c210a676f61,response_value,true,keywords,Banner,internet-devices/,1,"null\,unknown#0",2019-02-15T19:24:31.960Z,,Dev-page_config,,814b5c0e-60fd-4cdf-b0a8-67bc84695c3e,2019-04-15T14:51:03.970Z,json,16,rules-global,,,unknown,26d5ef4d-4e69-4d93-82ca-021d1a65875b,,
0,banner,"{   ""page_config"": {     ""show_oos"": ""true""\,     ""page_title"":""All Devices""\,	""default_sort"": ""featured""\,     ""default_payment_option"": ""monthly""   } }",CONFIG: Devices Page config,application/json,4c89cc1f-80b2-4277-8ce9-3c210a676f61,response_value,true,keywords,Banner,devices/,1,"null\,unknown#0",2019-02-15T21:09:25Z,,Dev-page_config,,9ae053a5-6b56-4555-977b-51503c063139,2019-04-15T14:51:40.910Z,json,16,rules-global,,,unknown,aa9c043c-fdbc-4903-92d0-b04f5751be50,,
0,banner,"{   ""page_config"": {     ""show_oos"": ""true""\,     ""page_title"":""All Home-office-solutions""\,	""default_sort"": ""featured""\,     ""default_payment_option"": ""twoyear""   } }",CONFIG: HomeOfficeSolutions Page config,application/json,4c89cc1f-80b2-4277-8ce9-3c210a676f61,response_value,true,keywords,Banner,home-office-solutions/,1,"null\,unknown#0",2019-02-15T21:12:41.680Z,,Dev-page_config,,409226b6-a34f-457f-8f9d-8de6f0edda46,2019-04-15T14:51:09.640Z,json,16,rules-global,,,unknown,76f894c2-b833-4178-83f3-0bc3e4808222,,
0,banner,"{   ""page_config"": {     ""show_oos"": ""true""\,	""page_title"":""All Smartphones""\,		""default_sort"": ""featured""\,     ""default_payment_option"": ""monthly""   } }",CONFIG: Smartphones Page config,application/json,4c89cc1f-80b2-4277-8ce9-3c210a676f61,response_value,true,keywords,Banner,smartphones/,1,"null\,unknown#0",2019-04-10T16:05:05.430Z,,Dev-page_config,,ddc7f05a-40f0-4349-a705-c77f53ce5ca2,2019-04-15T14:51:27.450Z,json,16,rules-global,,,unknown,f79cd29a-da22-4bf3-b789-94cf3b0e7c81,,
0,,,Biz-business-solutions,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,boost_list,true,keywords,Boost List,business-solutions/,1,"null\,unknown#0",2019-04-14T05:00:56.150Z,,Biz-business-solutions,,7a6929c9-f5e3-499c-9c3d-b8c0572188ee,2019-08-01T07:26:17.150Z,json,16,rules-global,,id,unknown,dda250be-ca7d-4df8-b794-c7bab9be9b03,,wireless-home-phone-t2000-in-black
0,,,Biz-devices-lg,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,boost_list,true,keywords,Boost List,devices/lg/,1,"null\,unknown#0",2019-04-14T05:50:31.430Z,,Biz-devices-lg,,6dcbb7f7-44ae-4b60-8faa-e30ecca55799,2019-08-01T07:24:01.260Z,json,16,rules-global,,id,unknown,0caae2c5-6817-44a0-a4a8-6385564daa9f,,"lg-v50-thinq-5g-in-new-aurora-black\,lg-g8-thinq-in-aurora-black\,lg-v40-thinq-moroccan-blue"
0,,,Biz-devices-motorola,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,boost_list,true,keywords,Boost List,devices/motorola/,1,"null\,unknown#0",2019-04-14T05:52:20.230Z,,Biz-devices-motorola,,7adc6a55-d1e4-4b4f-afdc-c5042d52085b,2019-08-01T07:23:48.410Z,json,16,rules-global,,id,unknown,4903c948-56df-49c7-9daf-7eaf7532331d,,"moto-z4-in-flash-gray\,moto-z3-in-ceramic-black\,moto-g7-power-in-black"
0,,,Biz-internet-devices-verizon,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,boost_list,true,keywords,Boost List,internet-devices/verizon/,1,"null\,unknown#0",2019-04-14T05:59:33.540Z,,Biz-internet-devices-verizon,,297ebd0f-f97f-445e-8ba9-f7f51f800fe8,2019-08-01T07:22:18.800Z,json,16,rules-global,,id,unknown,84944b1b-7688-4cc3-ad46-931b7d9863a6,,apple-iphone-7-plus-32gb-in-gold
0,,,Biz-smartphones-htc,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,boost_list,false,keywords,Boost List,smartphones/htc/,1,"null\,unknown#0",2019-04-14T06:12:43.210Z,,Biz-smartphones-htc,,7341c7ad-9b16-4ab9-b661-d19b6dbea5fe,2019-07-31T04:17:47.040Z,json,16,rules-global,,id,unknown,b491b56a-b0e8-4505-960f-0502971c1782,,htc-10-32gb-in-silver
0,,,Biz-smartphones-kyocera,application/json,876154d9-f821-4d76-b481-ed8bf7c38c6f,boost_list,false,keywords,Boost List,smartphones/kyocera/,1,"null\,unknown#0",2019-04-14T06:14:56.810Z,,Biz-smartphones-kyocera,,abc04f2e-11b7-4552-b997-0f6f7fb3d9d9,2019-07-31T04:17:32.890Z,json,16,rules-global,,id,unknown,33bb01ed-bdb9-462d-8130-da63ce39cf65,,"duraxv-in-black-by-kyocera\,duraxv-in-black-by-kyocera-non-camera"
