id,searchQuery,searchClicks,contentType
750,samsung s8,710,d
479,samsung note,701,d
458,samsung note 10,697,d
446,s10+,687,d
985,android,681,d
554,iphone 8+,674,d
611,iphone 11 pro mac,674,d
420,google pixel 2 xl,666,d
361,samsung galaxy tab a,650,d
537,i phone 11 pro,642,d
461,samsung tablet,640,d
570,pixel 3a,634,d
389,moto g6,615,d
476,note10,612,d
520,iphonexr,609,d
649,iphone xr max,595,d
505,moto z,589,d
759,i phone 10,584,d
518,galaxy a50,581,d
356,kyocera duraxv,565,d
465,smartphone,561,d
351,samsung galaxy j7 v,556,d
613,tab s6,548,d
511,lg phones,538,d
516,i phone 7 plus,534,d
513,iphon,530,d
561,samsung a20,530,d
582,z4,511,d
663,samsung phones,511,d
681,7,511,d
374,samsung galaxy s10 5g,506,d
617,apple 11,505,d
629,used phones,498,d
526,lg exalt,492,d
776,galaxy s7,480,d
607,sony,475,d
618,iphonex,475,d
842,samsung galaxy s7,474,d
630,razer,461,d
530,ipad 9.7,456,d
545,samsung galaxy a10e,456,d
673,redzone,449,d
624,i phone 6,440,d
898,apple phones,440,d
792,iphone 11 plus,435,d
454,samsung galaxy j3 v,426,d
769,apple ipad,419,d
800,g7,407,d
770,iphone 11pro,395,d
672,galaxy a10e,394,d
679,apple xr,394,d
707,apple iphone 8,391,d
486,lg v50 thinq 5g,375,d
801,i phone 11 pro max,371,d
975,galaxy note 8,371,d
808,iphone 11 max pro,368,d
780,samsung s10e,366,d
733,samsung galaxy note,361,d
477,samsung galaxy tab s4,360,d
721,lg g8,360,d
754,galaxy s10e,358,d
923,iphone 1,350,d
964,lg g7,348,d
903,6s,346,d
665,lg stylo 5,344,d
712,apple iphone 7,342,d
722,apple iphone xr,338,d
771,pixel 3 xl,336,d
715,tab a,335,d
836,i phone xs,330,d
892,iphone 7+,327,d
814,ipad 10.2,320,d
837,apple iphone x,316,d
907,s9+,316,d
843,s10 plus,312,d
862,samsung galaxy a20,310,d
723,droid phones,308,d
838,galaxy a20,308,d
915,x max,308,d
977,samsung a10,308,d
958,refurbished iphones,307,d
796,lg v50,298,d
865,alcatel go flip,296,d
572,lg v40 thinq,293,d
997,s7,293,d
845,lg stylo,288,d
746,motorola z4,283,d
919,motorola g7,282,d
564,alcatel avalon v,281,d
920,max,274,d
873,s10 5g,257,d
959,moto e6,244,d
895,ellipsis,242,d
696,lg g8 thinq,238,d
899,stylo,237,d
978,apple iphones,236,d
905,oneplus 7 pro,231,d
802,moto e5 play,230,d
963,tab,228,d
897,pre owned,219,d
914,samsung galaxy tab,203,d
996,iphone 8 pl,188,d
823,sony xperia,174,d
942,red hydrogen one,141,d
980,galaxy tab a 10.5,134,d
1,trade in,71621,s
4,shop deals,45670,s
9,plans,36253,s
5,usage,30742,s
6,my usage,24329,s
15,upgrade,23416,s
7,my orders,20412,s
27,add a line,17109,s
46,verizon up,13951,s
12,block number,13533,s
23,orders,13489,s
50,hotspot,13107,s
51,chat,12921,s
30,military discount,12841,s
26,activate phone,12755,s
53,apple music,11973,s
22,view text messages,11606,s
21,track order,11523,s
20,employee discount,11474,s
198,upgrade device,10887,s
28,order status,10422,s
29,travelpass,9721,s
38,coverage map,9174,s
34,international - outside us,9037,s
44,customer service number,9035,s
88,rewards,8899,s
59,insurance,8697,s
56,pin,8429,s
37,trade in value,8311,s
628,Unspecified,8065,s
49,cloud,7915,s
57,pay bill,7843,s
65,unlimited,7743,s
60,discount,7624,s
52,auto pay,7346,s
47,order,7256,s
41,verizon cloud,7005,s
43,block calls,6631,s
45,international travel,6552,s
71,block,6436,s
54,view usage,6236,s
48,cancel service,6118,s
55,account pin,6004,s
58,live chat,5979,s
84,call log,5946,s
95,contact,5922,s
77,smart family,5915,s
79,travel pass,5849,s
78,text messages,5630,s
80,call history,5593,s
101,customer service,5584,s
67,total mobile protection,5580,s
135,air pods,5289,s
63,send text,5213,s
98,discounts,5099,s
74,my rewards,4952,s
69,data usage,4839,s
70,change phone number,4726,s
81,contact us,4607,s
99,text online,4606,s
104,mobile hotspot,4539,s
103,ringback tone,4393,s
153,prepaid,4378,s
116,international,4314,s
109,fios,4270,s
85,call forwarding,4223,s
75,bring your own device,4183,s
87,prepaid plan,4086,s
294,text,4049,s
119,messages,4017,s
97,manage ring back tones,3922,s
113,contacts,3835,s
108,nfl,3834,s
92,insurance claim,3592,s
132,bill,3564,s
118,military,3562,s
82,transfer your service,3538,s
100,voicemail,3489,s
111,find my phone,3439,s
91,chat now,3398,s
93,bill pay,3325,s
160,mifi,3295,s
107,payment arrangement,3208,s
123,activate,3193,s
146,lost phone,3128,s
83,usage details,3099,s
127,autopay,3049,s
115,enable personal hotspot,2996,s
130,family plan,2972,s
231,outage,2919,s
163,promise to pay,2901,s
106,contact number,2843,s
147,unlock phone,2779,s
149,byod,2657,s
129,activation,2619,s
202,coverage,2568,s
405,wifi,2513,s
929,help,2402,s
278,internet,2388,s
117,international plans,2325,s
136,phone insurance,2318,s
172,rebate,2316,s
110,rebate center,2314,s
126,signal booster,2310,s
355,my verizon,2243,s
141,unlimited data plan,2213,s
238,galaxy fold,2201,s
442,kids,2177,s
187,account manager,2176,s
142,my order,2145,s
114,paper-free billing,2120,s
237,enable hotspot,2063,s
174,support:discounts for seniors - 55+ unlimited plan faqs,2045,s
287,phone number,2041,s
178,travel,2040,s
124,send message,2019,s
157,my bill,1997,s
183,asurion,1995,s
162,suspend,1964,s
186,change pin,1951,s
180,support:contact us | verizon wireless,1944,s
137,my contacts,1920,s
226,call filter,1904,s
362,documents,1889,s
320,wifi calling,1870,s
148,parental controls,1855,s
199,tracking,1850,s
155,prepaid smartphones,1847,s
1646,sign out,1838,s
339,5g,1830,s
158,statements,1829,s
164,backup assistant,1824,s
185,home internet,1814,s
502,up,1809,s
139,view my bill,1801,s
222,first responder,1793,s
203,support:set up auto pay for monthly discounts on your bill faqs,1754,s
176,make payment,1728,s
212,change number,1674,s
220,payment,1656,s
189,customer support,1651,s
205,cancel,1646,s
193,file a claim,1591,s
171,account number,1582,s
265,data plans,1518,s
204,view bill,1514,s
302,warranty,1495,s
280,return,1487,s
344,data boost,1485,s
1103,ringback tones,1478,s
195,manage account,1465,s
177,upgrade eligibility,1452,s
1262,data,1444,s
264,store locator,1434,s
166,print return label,1420,s
260,share name id,1420,s
249,track,1411,s
271,trade,1408,s
310,pay my bill,1403,s
261,change password,1398,s
552,support,1376,s
352,switch,1374,s
232,reset pin,1367,s
329,senior plans,1365,s
209,switch device,1359,s
263,block numbers,1354,s
215,ringtones,1340,s
336,add data,1324,s
281,activate new phone,1315,s
